flags localhost:9092 4002
SendTask 52fdfc07-2182-654f 188
SendTask 52fdfc07-2182-654f 190
SendTask 52fdfc07-2182-654f 428
SendTask 52fdfc07-2182-654f 436
SendTask 52fdfc07-2182-654f 438
SendTask 52fdfc07-2182-654f 941
SendTask 52fdfc07-2182-654f 942
SendTask 52fdfc07-2182-654f 441
SendTask 52fdfc07-2182-654f 945
SendTask 52fdfc07-2182-654f 946
SendTask 52fdfc07-2182-654f 444
SendTask 52fdfc07-2182-654f 948
SendTask 52fdfc07-2182-654f 446
SendTask 52fdfc07-2182-654f 950
SendTask 52fdfc07-2182-654f 454
SendTask 52fdfc07-2182-654f 457
SendTask 52fdfc07-2182-654f 458
SendTask 52fdfc07-2182-654f 200
SendTask 52fdfc07-2182-654f 477
SendTask 52fdfc07-2182-654f 562
SendTask 52fdfc07-2182-654f 206
SendTask 52fdfc07-2182-654f 212
SendTask 52fdfc07-2182-654f 218
SendTask 52fdfc07-2182-654f 219
SendTask 52fdfc07-2182-654f 973
SendTask 52fdfc07-2182-654f 977
SendTask 52fdfc07-2182-654f 492
SendTask 52fdfc07-2182-654f 499
SendTask 52fdfc07-2182-654f 502
